Player Name,Source,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rec Yards,Rec TDs,Receptions,Ints
Aaron Rodgers,DK,3950.5,28.5,,,,,,9.5
Bryce Young,DK,3400.5,22.5,,,,,,
CJ Stroud,DK,3400.5,21.5,,,,,,
Dak Prescott,DK,4000.5,26.5,,,,,,13.5
Daniel Jones,DK,3300.5,17.5,575.5,,,,,8.5
Derek Carr,DK,3800.5,23.5,,,,,,11.5
Deshaun Watson,DK,3650.5,25.5,,,,,,11.5
Desmond Ridder,DK,2600.5,15.5,,,,,,
Geno Smith,DK,3900.5,26.5,,,,,,11.5
Jalen Hurts,DK,3700.5,22.5,700.5,9.5,,,,8.5
Jared Goff,DK,4000.5,25.5,,,,,,12.5
Joe Burrow,DK,4425.5,33.5,,,,,,11.5
Jordan Love,DK,3350.5,21.5,,,,,,12.5
Josh Allen,DK,4350.5,32.5,550.5,6.5,,,,13.5
Justin Fields,DK,2850.5,18.5,825.5,6.5,,,,10.5
Justin Herbert,DK,4450.5,29.5,,,,,,10.5
Kenny Pickett,DK,3300.5,18.5,,,,,,11.5
Kirk Cousins,DK,4300.5,28.5,,,,,,12.5
Lamar Jackson,DK,3500.5,23.5,725.5,5.5,,,,9.5
Mac Jones,DK,3300.5,19.5,,,,,,11.5
Matthew Stafford,DK,3800.5,22.5,,,,,,12.5
Patrick Mahomes,DK,4800.5,36.5,,,,,,11.5
Russell Wilson,DK,3750.5,24.5,,,,,,10.5
Trevor Lawrence,DK,3975.5,26.5,,,,,,10.5
Tua Tagovailoa,DK,3850.5,26.5,,,,,,10.5
Aaron Jones,DK,,,800.5,6.5,,,,
Alexander Mattison,DK,,,900.5,6.5,,,,
AJ Dillon,DK,,,725.5,6.5,,,,
David Montgomery,DK,,,750.5,7.5,,,,
Austin Ekeler,DK,,,775.5,8.5,,,,
Breece Hall,FD,,,875.5,6.5,,,,
Brian Robinson,DK,,,800.5,6.5,,,,
Bijan Robinson,DK,,,1100.5,8.5,,,,
Cam Akers,DK,,,750.5,6.5,,,,
Christian McCaffrey,DK,,,900.5,7.5,,,,
Dameon Pierce,DK,,,900.5,5.5,,,,
Derrick Henry,DK,,,1150.5,9.5,,,,
D'Andre Swift,DK,,,500.5,4.5,,,,
Isiah Pacheco,DK,,,775.5,5.5,,,,
JK Dobbins,DK,,,750.5,6.5,,,,
James Conner,DK,,,650.5,6.5,,,,
James Cook,DK,,,775.5,3.5,,,,
Joe Mixon,DK,,,825.5,7.5,,,,
Jonathan Taylor,DK,,,1150.5,8.5,,,,
Kenneth Walker,DK,,,950.5,7.5,,,,
Miles Sanders,DK (FD TD),,,925.5,5.5,,,,
Najee Harris,DK,,,975.5,7.5,,,,
Nick Chubb,DK,,,1225.5,8.5,,,,
Rachaad White,DK,,,650.5,4.5,,,,
Rashaad Penny,DK,,,600.5,,,,,
Rhamondre Stevenson,DK,,,1000.5,6.5,,,,
Tony Pollard,DK,,,1050.5,8.5,,,,
Travis Etienne,DK,,,950.5,6.5,,,,
Raheem Mostert,DK,,,600.5,,,,,
AJ Brown,DK,,,,,1050.5,7.5,75.5,
Juju Smith-Schuster,DK,,,,,700.5,4.5,,
Adam Theilen,DK,,,,,550.5,4.5,55.5,
Adam Lazard,DK,,,,,675.5,4.5,57.5,
Amari Cooper,DK,,,,,950.5,6.5,72.5,
Amon-Ra St. Brown,DK,,,,,1050.5,5.5,95.5,
Calvin Ridley,DK,,,,,900.5,6.5,70.5,
CeeDee Lamb,DK,,,,,1100.5,7.5,95.5,
Chris Godwin,DK,,,,,775.5,5.5,80.5,
Chris Olave,DK,,,,,1050.5,5.5,75.5,
Christian Kirk,DK,,,,,825.5,5.5,70.5,
Christian Watson,DK,,,,,800.5,4.5,62.5,
Cooper Kupp,DK,,,,,1250.5,9.5,107.5,
Courtland Sutton,DK,,,,,650.5,4.5,55.5,
DJ Moore,DK,,,,,800.5,4.5,62.5,
DK Metcalf,DK,,,,,950.5,7.5,82.5,
Dallas Goedert,DK,,,,,675.5,3.5,54.5,
Darren Waller,DK,,,,,700.5,4.5,60.5,
Davante Adams,DK,,,,,1300.5,8.5,99.5,
David Njoku,DK,,,,,550.5,,50.5,
Dawson Knox,DK,,,,,425.5,4.5,39.5,
DeAndre Hopkins,DK,,,,,850.5,4.5,,
DeVonta Smith,DK,,,,,975.5,6.5,80.5,
Deebo Samuel,DK,,,,,725.5,4.5,59.5,
Diontae Johnson,DK,,,,,825.5,,82.5,
Drake London,DK,,,,,825.5,4.5,70.5,
Evan Engram,DK,,,,,640.5,3.5,63.5,
Gabe Davis,DK,,,,,775.5,6.5,50.5,
Garrett Wilson,DK,,,,,1150.5,8.5,89.5,
George Kittle,DK,,,,,725.5,5.5,57.5,
George Pickens,DK,,,,,750.5,4.5,55.5,
JaMarr Chase,DK,,,,,1275.5,10.5,95.5,
Jaxson Smith-Njigba,DK,,,,,725.5,,57.5,
Jaylen Waddle,DK,,,,,1075.5,6.5,87.5,
Jerry Jeudy,DK,,,,,875.5,5.5,67.5,
Justin Jefferson,DK,,,,,1400.5,8.5,105.5,
Kadarius Toney,DK,,,,,630.5,,,
Keenan Allen,DK,,,,,875.5,5.5,85.5,
Kyle Pitts,DK,,,,,700.5,4.5,52.5,
Mark Andrews,DK,,,,,825.5,6.5,,
Marquise Brown,DK,,,,,800.5,4.5,70.5,
Michael Pittman,DK,,,,,825.5,4.5,80.5,
Mike Evans,DK,,,,,925.5,6.5,70.5,
Mike Williams,DK,,,,,800.5,5.5,87.5,
Odell Beckham,DK,,,,,575.5,4.5,40.5,
Quentin Johnston,DK,,,,,575.5,,,
Robert Woods,DK,,,,,540.5,,52.5,
Stephon Diggs,DK,,,,,1125.5,8.5,99.5,
Tee Higgins,DK,,,,,1000.5,7.5,70.5,
Terry McLaurin,DK,,,,,900.5,4.5,72.5,
Tim Patrick,DK,,,,,525.5,,37.5,
Travis Kelce,DK,,,,,1150.5,9.5,95.5,
Treylon Burks,DK,,,,,675.5,,,
Tyler Higbee,DK,,,,,500.5,4.5,57.5,
Tyler Lockett,DK,,,,,875.5,6.5,72.5,
Tyreek Hill,DK,,,,,1300.5,7.5,102.5,
Michael Thomas,DK,,,,,,4.5,,
Brandon Aiyuk,DK,,,,,,4.5,,
Juwan Johnson,DK,,,,,,3.5,,
Jahan Dotson,DK,,,,,,4.5,,
Marquez Valdes-Scantling,DK,,,,,,3.5,,
Michael Gallup,DK,,,,,,4.5,,
TJ Hockenson,DK (FD Yards),,,,,750.5,5.5,,
Tyler Boyd,DK,,,,,,4.5,,
Van Jefferson,DK,,,,,,4.5,,
